src,actual_value,predicted_value,percentage_error
D:\records\Drop Impact on Rough Surfaces0\S2-W-20G-20cm-C-1_C001H001S0001\S2-W-20G-20cm-C-1_C001H001S0001000126.jpg,18.0,13.32441370662324,25.975479407648667
D:\records\Drop Impact on Rough Surfaces0\S3-W-25G-40cm-OG-1_C001H001S0002\S3-W-20G-40cm-OG-1_C001H001S0002000106.jpg,7.0,13.495705622482959,92.7957946068994
D:\records\Drop Impact on Rough Surfaces_3\S6-W-18G-20cm-OR2-1_C001H001S0001\S6-W-18G-20cm-OR2-1_C001H001S0001000121.jpg,6.0,7.837581896942989,30.626364949049822
D:\records\Drop Impact on Rough Surfaces_1\S2-W-18G-30cm-C-2_C001H001S0001\S2-W-18G-30cm-C-2_C001H001S0001000143.jpg,28.0,20.196273307784093,27.87045247219967
D:\records\Drop Impact on Rough Surfaces_3\S1-W-18G-20cm-OG2-1_C001H001S0001\S1-W-18G-20cm-OG2-1_C001H001S0001000125.jpg,28.0,21.680231195120076,22.570602874571158
D:\records\Drop Impact on Rough Surfaces0\S2-W-20G-20cm-OG-1_C001H001S0001\S2-W-20G-20cm-OG-1_C001H001S0001000120.jpg,19.0,14.289051136593264,24.794467702140718
D:\records\Drop Impact on Rough Surfaces_2\SQ2-W-25G-40cm-R1-2_C001H001S0001\SQ2-W-25G-40cm-R1-2_C001H001S0001000138.jpg,9.0,11.199744032976565,24.44160036640627
D:\records\Drop Impact on Rough Surfaces_2\SQ3-W-25G-40cm-R1-3_C001H001S0001\SQ3-W-25G-40cm-R1-3_C001H001S0001000135.jpg,15.0,11.843418891279356,21.043874058137625
D:\records\Drop Impact on Rough Surfaces_2\SQ3-W-25G-20cm-R1-1_C001H001S0001\SQ3-W-25G-20cm-R1-1_C001H001S0001000128.jpg,18.0,13.754315755968301,23.587134689064992
D:\records\Drop Impact on Rough Surfaces\S2-W-18G-40cm-OG1-1_C001H001S0001\S2-W-18G-40cm-OG1-1_C001H001S0001000110.jpg,33.0,26.068404332230244,21.004835356878047
D:\records\Drop Impact on Rough Surfaces0\S1-W-20G-20cm-C-1_C001H001S0001\S1-W-20G-20cm-C-1_C001H001S0001000132.jpg,12.0,15.128651723281603,26.072097694013358
D:\records\Drop Impact on Rough Surfaces_2\SQ2-W-20G-40cm-R1-2_C001H001S0001\SQ2-W-20G-40cm-R1-2_C001H001S0001000098.jpg,6.0,15.750905195443213,162.51508659072022
D:\records\Drop Impact on Rough Surfaces_2\SQ3-W-20G-40cm-R1-2_C001H001S0001\SQ3-W-20G-40cm-R1-2_C001H001S0001000097.jpg,27.0,19.395155751119876,28.16608981066712
D:\records\Drop Impact on Rough Surfaces0\S5-W-20G-20cm-OR-1_C001H001S0001\S5-W-20G-20cm-OR-1_C001H001S0001000122.jpg,5.0,12.016060565248337,140.32121130496674
D:\records\Drop Impact on Rough Surfaces_2\SQ2-W-20G-40cm-R1-2_C001H001S0001\SQ2-W-20G-40cm-R1-2_C001H001S0001000103.jpg,4.0,15.438077798781174,285.95194496952934
D:\records\Drop Impact on Rough Surfaces_2\SQ3-W-25G-20cm-R1-1_C001H001S0001\SQ3-W-25G-20cm-R1-1_C001H001S0001000125.jpg,16.0,12.5400468338411,21.624707288493127
D:\records\Drop Impact on Rough Surfaces0\S3-W-20G-40cm-OG-1_C001H001S0001\S3-W-20G-40cm-OG-1_C001H001S0001000106.jpg,16.0,24.012159117288334,50.075994483052085
D:\records\Drop Impact on Rough Surfaces\S6-W-18G-40cm-OG1-2_C001H001S0001\S6-W-18G-40cm-OG1-2_C001H001S0001000109.jpg,13.0,22.588239276379777,73.7556867413829
D:\records\Drop Impact on Rough Surfaces0\S1-W-25G-20cm-C-1_C001H001S0002\S1-W-20G-20cm-C-1_C001H001S0002000125.jpg,16.0,11.951033263275015,25.30604210453116
D:\records\Drop Impact on Rough Surfaces\S5-W-18G-40cm-OG1-1_C001H001S0001\S5-W-18G-40cm-OG1-1_C001H001S0001000102.jpg,31.0,23.854620540776068,23.049611158786877
D:\records\Drop Impact on Rough Surfaces0\S1-W-20G-20cm-OR-1_C001H001S0001\S1-W-20G-20cm-OR-1_C001H001S0001000139.jpg,9.0,12.301749716295358,36.68610795883731
D:\records\Drop Impact on Rough Surfaces\S2-W-18G-40cm-OR1-2_C001H001S0001\S2-W-18G-40cm-OR1-2_C001H001S0001000093.jpg,17.0,22.0752661003809,29.854506472828827
D:\records\Drop Impact on Rough Surfaces\S2-W-18G-40cm-OR1-2_C001H001S0001\S2-W-18G-40cm-OR1-2_C001H001S0001000091.jpg,15.0,20.40701494878974,36.04676632526493
D:\records\Drop Impact on Rough Surfaces0\S3-W-20G-20cm-OR-1_C001H001S0001\S3-W-20G-20cm-OR-1_C001H001S0001000116.jpg,10.0,12.729280162702786,27.292801627027856
D:\records\Drop Impact on Rough Surfaces0\S2-W-20G-20cm-OG-1_C001H001S0001\S2-W-20G-20cm-OG-1_C001H001S0001000122.jpg,19.0,14.389303491882862,24.26682372693231
