,surface_type,liquid_type,diameter,height,fall_point_type,id,time,area,circumstance,circularity,finger_num,velocity,circle_radius
0,0,0,18,40,0,101,0.0202,1.4284584000000002e-05,0.0209777201428413,0.4079067449041446,27.0,0.3,0.002136
1,0,0,18,40,0,102,0.0204,1.4455584000000002e-05,0.0220376309280395,0.3740379729233202,24.0,0.12,0.00216
2,0,0,18,40,0,104,0.0208,1.4645592000000002e-05,0.0214172491350173,0.401226323303708,25.0,0.06,0.002172
3,0,0,18,40,0,111,0.0222,1.4616936000000002e-05,0.0217789547638893,0.3872506396056754,23.0,4.68,0.00216
4,0,0,18,40,1,97,0.0194,1.4467464000000002e-05,0.0257734811468124,0.2736882241618515,24.0,-0.06,0.002112
5,0,0,18,40,1,100,0.02,1.4692608000000002e-05,0.0199572812190055,0.46356005070696,25.0,1.32,0.00216
6,0,0,18,40,1,101,0.0202,1.4690736000000002e-05,0.0196511045880317,0.4780567824912217,25.0,0.0,0.00216
7,0,0,18,40,1,104,0.0208,1.4618736e-05,0.0202263980813026,0.4490374742001522,23.0,2.22,0.00216
8,0,0,18,40,1,110,0.022,1.4293656e-05,0.0216918967709541,0.3817316169242977,24.0,4.38,0.002124
9,0,0,18,40,2,106,0.0212,1.3473432e-05,0.0202484855031967,0.41295526535359,22.0,0.12,0.002088
10,0,0,18,40,2,107,0.0214,1.3625784000000002e-05,0.020504250002861,0.4072710940224966,21.0,0.06,0.0021
11,0,0,18,40,2,108,0.0216,1.3749984000000002e-05,0.0211743374319076,0.3853828618630482,22.0,0.06,0.002112
12,0,0,18,40,3,98,0.0196,1.2026232e-05,0.0194496630306243,0.3994986156110174,20.0,0.24,0.00198
13,0,0,18,40,3,99,0.0198,1.2400560000000002e-05,0.0198108690505027,0.3970490007966062,22.0,0.12,0.002004
14,0,0,18,40,3,100,0.02,1.2688416000000002e-05,0.0203316326723098,0.385720537566165,17.0,0.12,0.002028
15,0,0,18,40,3,101,0.0202,1.2945456e-05,0.0204838682012558,0.3877066689285283,19.0,0.12,0.002052
16,0,0,18,40,3,103,0.0206,1.3258584000000002e-05,0.0214337201385498,0.3626702209277668,22.0,0.18,0.002076
17,0,0,18,40,3,104,0.0208,1.3400424000000002e-05,0.0227183659944534,0.3262678044523581,21.0,0.12,0.0021
18,0,0,18,40,3,135,0.027,1.2393072000000002e-05,0.018788103714466,0.441187235637399,18.0,0.0,0.002016
19,1,0,18,40,0,96,0.0192,1.4065776e-05,0.0260626872096061,0.2602167073110679,30.0,0.3,0.002124
20,1,0,18,40,0,102,0.0204,1.4357952000000002e-05,0.0230919253249168,0.3383623809828802,28.0,0.3,0.00216
21,1,0,18,40,0,105,0.021,1.4252472e-05,0.0250068941574096,0.2864049690610205,25.0,3.18,0.002148
